"Dutch","Nederlands"
"Payment fee","Betaaltoeslag"
"Payment fee amount. A positive amount will be used as a fixed amount, a negative amount  as percentage. Using both is also possible by separation with a semicolon. Eg. 0.30;-1.2 results in 30 cents + 1.2% of the order amount.","Betaaltoeslag bedrag. Een positief getal wordt als vast bedrag gebruikt, een negatief getal als percentage. Beide opgeven is ook mogelijk door deze te scheiden met een punt-comma. Voorbeeld: 0.30;-1.2 resulteert in 30 cent + 1.2% van het orderbedrag."
"Payment fee tax class","Betaaltoeslag BTW tarief"
"Choose the fee's tax class","Kies een BTW tarief voor de toeslag"
"Including/Excluding Tax","Inclusief/Exclusief BTW"
"Yes = fee entered including tax / No = fee entered excluding tax","Ja = opgegeven tarief is incl BTW / Nee = opgegeven tarief is excl BTW"
"Payment fee label","Betaaltoeslag beschrijving"
"Short description which is shown on orders/invoices","Korte omschrijving welke zichtbaar is op orders/facturen"
"Send Order Email only at payment","Verstuur bestelling Email pas bij betaling"
"Send Order Email only after payment completion.","Verstuur de bestelling Email pas als de betaling afgerond is."
"Instructions","Instructies"
"Payment failed.","Betaling mislukt."
"Payment expired.","Betaling verlopen."
"Payment canceled by user.","Betaling geannuleerd door gebruiker."
"Transaction pending: Waiting for customer action.", "Betaling pending: Wacht op actie van klant."
"Transaction pending: Waiting for confirmation.","Betaling pending: Wacht op bevestiging." 
"Version","Versie"
"Benificiary","Begunstidge"
"Benificiary IBAN","Begunstidge IBAN"
"Benificiary BIC","Begunstidge BIC"
"Reference","Referentie"
"Selected currency code "%s" is not compatible with CardGate","Geselecteerde valuta code "%s" wordt niet ondersteund door CardGate"
"RESTful API Username","RESTful API Gebruikernaam"
"Needed only for refund-functionality: Fill in your API Username.","Alleen nodig voor terugboekings-functionaliteit: Vul hier uw API Gebruikersnaam in."
"RESTful API Key","RESTful API Sleutel"
"Needed only for refund-functionality: Fill in your secret API key. Please contact your account manager to retrieve the API Username and Key for your account.","Alleen nodig voor terugboekings-functionaliteit: Vul hier uw geheime API Sleutel in. Neem contact op met uw accoutmanager om de API Gebruikersnaam en Sleutel te ontvangen voor uw account."
"Refunds enabled.","Terugboekingen ingeschakeld."
"Test current RESTful API settings.","Test huidige RESTful API instellingen."
"Refunds disabled. Missing settings:","Terugboekingen uitgeschakeld. Ontbrekende instellingen:"
"CardGate refund %s successfully authorised. Amount: %s","CardGate terugboeking %s succesvol geautoriseerd. Bedrag: %s"
"CardGate refund %s failed. Amount: %s","CardGate terugboeking %s mislukt. Bedrag: %s"
"CardGate refund %s complete. Amount: %s","CardGate terugboeking %s voltooid. Bedrag: %s"
"CardGate refund failed","CardGate terugboeking mislukt"
"CardGate was unable to succesfully complete a refund for Order # %s (transaction # %s). Please visit https://my.cardgate.com/ for more details.","CardGate kon een terugboeking niet succesvol voltooien voor Order # %s (transactie # %s). Bezoek https://my.cardgate.com/ voor meer informatie."
"CardGate was unable to succesfully complete a refund for <b>Order # %s</b> <b>(transaction # %s)</b>. Please visit <a href='https://my.cardgate.com/'>https://my.cardgate.com/</a> for more details.","CardGate kon een terugboeking niet succesvol voltooien voor <b>Order # %s</b> <b>(transactie # %s)</b>. Bezoek <a href='https://my.cardgate.com/'>https://my.cardgate.com/</a> voor meer informatie."
"CardGate refund for Transaction %s declined. Reason: %s","CardGate terugboeking voor Transaction %s afgewezen. Reden: %s"
"Cardgate refund action required","Cardgate terugboeking handeling benodigd"
"Action required for Cardgate refund Order # %s (transaction # %s). See URL %s","Handeling benodigd voor Cardgate terugboeking Order # %s (transactie # %s). Zie URL %s"
"Action required for Cardgate refund <b>Order # %s</b> <b>(transaction # %s)</b>. <a href='%s' target='_blank'>Click here</a>","Handeling benodigd voor Cardgate terugboeking <b>Order # %s</b> <b>(transactie # %s)</b>. <a href='%s' target='_blank'>Klik hier</a>"
"CardGate refund failed because transaction could not be found","CardGate terugboeking mislukt omdat de transactie niet gevonden kon worden"
"Unclaimed inventory because order changed to 'Canceled' state.","Voorraad teruggeboekt omdat de order wijzigde naar 'Geannuleerd' status."
"Reclaimed inventory because order changed from 'Canceled' to 'Processing' state.","Voorraad herboekt omdat de order wijzigde van 'Geannuleerd' naar 'Bezig met verwerken' status."
"Send payment link","Verstuur betaallink"
"CardGate transaction information %s","CardGate transactie informatie %s"
"Error loading order #%s","Fout tijdens laden order #%s"
"Error loading payment info for order #%s","Fout tijdens laden betaalingsinformatie van order #%s" 
"Send payment link for order #%s to email '%s'","Verstuur betaallink voor order #%s naar email '%s'"
"Send direct payment link using method '%s'","Verstuur directe betaallink voor methode '%s'"
"Send direct payment link allowing all available paymentmethods","Verstuur directe betaallink en sta alle toegestane betaalmethoden toe"
"Payment link mail sent using method \'%s\'","Betaallink email verzonden voor methode '%s'"
"Payment link mail sent allowing all available paymentmethods","Betaallink email verzonden voor alle toegestane betaalmethoden"
"Please notice the order is already finalized and additional transactioncosts don't change when other paymentmethods are applied.","Neem in acht dat de order al afgerond is en transactiekosten niet worden aangepast wanneer andere betaalmethoden gekozen worden."
"This order is already paid.","Deze order is al voldaan."
"A security error occurred","Een beveiligingsprobleem is opgetreden"
"An error occurred","Een fout is opgetreden"
"Payment method is not available. Please choose another method.","Betaalmethode is niet beschikbaar. Kies a.u.b. een andere methode."
"An exception occurred registering the transaction. Please try again.","Er trad een fout op bij het registreren van de transactie. Probeer het nogmaals."
"Transaction successfully completed.","Transactie succesvol voltooid."
